"Urban Area Name","Country","Urban landa c 2000 (sq. km.)","Urban landa c 2010 (sq. km.)","Increase in urban land 2000 - 2010 (sq. km.)","Average annual rate of increase in urban land 2000 - 2010 (%)","Urban populationc c 2000 (persons)","Urban populationc c 2010 (persons)","Change in urban population 2000 - 2010 (persons)","Average annual rate of change of urban population (%)","Average urban population density c2000 (persons/ sq. km.)","Average urban population density c2010 (persons/ sq. km.)","Urban expansion per additional urban inhabitant (sq. m./ person)","Administrative boundary arrangementd","lon","lat"
"Anyang urban area","China",217.25,242,24.75,1.08473062125928,1227106,1465481,238375,1.7911008637781,5648.35903337169,6055.70661157025,103.828002097535,"Spillover",114.392393,36.097577
"Jiaozuo urban area","China",259.25,327.875,68.625,2.37618785623102,1194575,1430027,235452,1.8153085149719,4607.81099324976,4361.50057186428,291.460679883798,"Fragmented",113.241823,35.215893
"Xining urban area","China",131.1875,214.5625,83.375,5.0427629409834,953312,1425406,472094,4.10470366491428,7266.78989995236,6643.31371977862,176.60677746381,"Fragmented",101.778224,36.617134
"Phnom Penh urban area","Cambodia",107.375,163.5,56.125,4.29451239826628,917645,1405381,487736,4.35468164717704,8546.16996507567,8595.60244648318,115.072498236751,"Fragmented",104.8921668,11.5448729
"Tongzhou urban area","China",83.8125,185.5625,101.75,8.27249433279875,788922,1401105,612183,5.9116323470357,9412.93959731544,7550.58268777366,166.208470343018,"Fragmented",116.656435,39.909946
"Haikou urban area","China",167.3125,194.5625,27.25,1.52034265943577,954719,1395896,441177,3.87182203203531,5706.20246544639,7174.53774494057,61.7665925467556,"Contained",110.198293,20.044002
"P'yongyang urban area","North Korea",124.5,132.9375,8.4375,0.657888411440858,1236843,1393413,156570,1.19907158763692,9934.48192771084,10481.7150916784,53.8896340295076,"Spillover",125.7625241,39.0392193
"Jiexiu urban area","China",344.4375,412.625,68.1875,1.82267702269014,1190879,1383251,192372,1.50871628966008,3457.46035202323,3352.31990305968,354.456469756513,"Fragmented",111.916712,37.026945
"Yantai urban area","China",199.625,245.6875,46.0625,2.09790089508077,909546,1364297,454751,4.1378064728205,4556.27301189731,5552.97685067413,101.291695895116,"Fragmented",121.447935,37.463822
"Jember urban area","Indonesia",227.25,230.625,3.375,0.147531538227373,1021160,1358347,337187,2.8943891681761,4493.55335533553,5889.8514905149,10.009282682903,"Spillover",113.6680747,-8.1844859
"Sukabumi urban area","Indonesia",76.1875,95.625,19.4375,2.2983838285363,895799,1357948,462149,4.2478859504898,11757.8211648893,14200.7633986928,42.0589463571272,"Spillover",106.9299579,-6.9277361
"Liuzhou urban area","China",118.8125,154.3125,35.5,2.64880487451247,1035513,1329755,294242,2.53251439148258,8715.52235665439,8617.28635074929,120.648989607194,"Spillover",109.42841,24.326038
"Johor Bahru urban area","Malaysia",271.1875,416.3125,145.125,4.37944380579523,820597,1297170,476573,4.68553988078119,3025.93961742337,3115.85647800631,304.517880786364,"Contained",103.7413591,1.492659
"Putian urban area","China",290.6875,354.75,64.0625,2.01161066926679,1106458,1278041,171583,1.45208696682175,3806.34874220598,3602.65257223397,373.361580109918,"Contained",119.007777,25.454085
"Jilin urban area","China",270.625,292.0625,21.4375,0.765250405268777,1199748,1261145,61397,0.500332541237234,4433.24896073903,4318.06548255938,349.162011173184,"Fragmented",125.325862,43.89654
"Kediri  urban area","Indonesia",247.875,273.9375,26.0625,1.00476814890178,903834,1256399,352565,3.34843172867366,3646.32980332829,4586.44398813598,73.9225391062641,"Spillover",112.0178286,-7.8480156
"Maoming urban area","China",134.6875,151.6875,17,1.19574457417658,982408,1250113,267705,2.43909619733831,7293.98051044084,8241.37124021426,63.5027362208401,"Spillover",110.925456,21.662999
"Qinhuangda urban areao","China",255.6875,305.6875,50,1.80211910490834,967441,1235994,268553,2.48001666838081,3783.68516255194,4043.32529135146,186.182988088012,"Fragmented",119.600493,39.935385
"Yingkou urban area","China",405.1875,442.1875,37,0.877669907234699,1117204,1228493,111289,0.954113713410672,2757.2518895573,2778.21738515901,332.46771918159,"Fragmented",122.235418,40.667012
"Xingtai urban area","China",186.25,203.4375,17.1875,0.886596945090046,1046755,1221274,174519,1.55394684993496,5620.1610738255,6003.19016897081,98.4849787129195,"Fragmented",114.504844,37.070589
"Hai Phong urban area","Vietnam",161.375,198.75,37.375,2.10501846665739,817540,1221115,403575,4.09377424836225,5066.08830364059,6143.9748427673,92.6097999132751,"Fragmented",106.6880841,20.8449115
"Yinchuan urban area","China",71.625,156.9375,85.3125,8.15988317447081,640602,1214059,573457,6.60195030139658,8943.83246073299,7735.93946634807,148.768783012501,"Fragmented",106.230909,38.487194
"Lingxi urban area","China",73.375,143.3125,69.9375,6.92360572018984,837401,1201395,363994,3.67528418803625,11412.6201022147,8383.04404709987,192.139156139936,"Spillover",111.177234,29.367984
"Xiangtan urban area","China",73.8125,156.1875,82.375,7.78333960927303,675776,1192105,516329,5.84032739139904,9155.30567315834,7632.525010004,159.539750817793,"Fragmented",112.944049,27.829738
"Jiangyin urban area","China",103.75,279.875,176.125,10.4326770223823,710260,1190623,480363,5.30177481297794,6845.87951807229,4254.12416257258,366.649804418742,"Contained",120.284939,31.920658
"Daqing urban area","China",235.5625,252.625,17.0625,0.701749852238369,941134,1188452,247318,2.36064604471876,3995.26240382064,4704.41167738743,68.9901260725058,"Fragmented",125.103784,46.58931
"Jinzhou urban area","China",236.5625,261.875,25.3125,1.02173287685306,992998,1153086,160088,1.50591082806439,4197.61373844121,4403.1923627685,158.116161111389,"Spillover",121.126846,41.095685
"Zhangjiakou urban area","China",226,244.75,18.75,0.800207503530972,995515,1151806,156291,1.46894684906451,4404.93362831858,4706.05107252298,119.968520260284,"Fragmented",114.886335,40.767545
"Garut urban area","Indonesia",33.875,45.9375,12.0625,3.0929115766584,666347,1136920,470573,5.48797268885905,19670.7601476015,24749.2789115646,25.6336423891723,"Contained",107.9235563,-7.251216
"Mandalay urban area","Myanmar",111.4375,129.8125,18.375,1.53797907760617,821889,1130511,308622,3.23956416101323,7375.33595064498,8708.79922965816,59.5388533545891,"Fragmented",96.0891032,21.9588282
"Sendai urban area","Japan",237.3125,251.9375,14.625,0.59982381041978,967641,1118370,150729,1.45819336718863,4077.49697129313,4439.07715207145,97.0284417729833,"Spillover",140.8693558,38.268215
"Cikampek urban area","Indonesia",91.875,105.75,13.875,1.41642619058162,762106,1116340,354234,3.89104401115939,8295.03129251701,10556.4066193853,39.1690238655804,"Contained",107.4381106,-6.3958742
"Kaifeng urban area","China",192.75,202.4375,9.6875,0.491576135308072,992299,1096110,103811,0.999949962022962,5148.11413748379,5414.56004939796,93.31862712044,"Spillover",114.307583,34.797281
"Dandong urban area","China",158.3125,209.875,51.5625,2.85953346978608,885944,1090500,204556,2.0991061248092,5596.17212791157,5195.94997022037,252.070337707034,"Fragmented",124.354451,40.000787
"Huaibei urban area","China",173.9375,192.25,18.3125,1.00603251188371,794811,1086694,291883,3.17734304525368,4569.52066115702,5652.50455136541,62.7391797398273,"Spillover",116.798265,33.955845
"Chifeng urban area","China",188.75,246.75,58,2.71574491885721,901473,1076946,175473,1.79445473070445,4776.01589403974,4364.52279635258,330.5351820508,"Fragmented",118.886856,42.257817
"Cianjur urban area","Indonesia",60.375,69.1875,8.8125,1.37177464370075,715682,1066550,350868,4.0701337122959,11853.9461697723,15415.3568202349,25.1162830466158,"Contained",107.1425442,-6.8168237
"Kwangju urban area","South Korea",86.6875,107.6875,21,2.19293718590385,875400,1037511,162111,1.71350420590569,10098.3417447729,9634.46082414393,129.540870144531,"Fragmented",126.8526012,35.1595454
"Huainan urban area","China",117.125,122.1875,5.0625,0.424046640360391,760337,1028920,268583,3.07125128534004,6491.67129135539,8420.82864450128,18.8489219347464,"Fragmented",116.999933,32.625478
