"Urban Area Name","Country","Urban landa c 2000 (sq. km.)","Urban landa c 2010 (sq. km.)","Increase in urban land 2000 - 2010 (sq. km.)","Average annual rate of increase in urban land 2000 - 2010 (%)","Urban populationc c 2000 (persons)","Urban populationc c 2010 (persons)","Change in urban population 2000 - 2010 (persons)","Average annual rate of change of urban population (%)","Average urban population density c2000 (persons/ sq. km.)","Average urban population density c2010 (persons/ sq. km.)","Urban expansion per additional urban inhabitant (sq. m./ person)","Administrative boundary arrangementd","lon","lat"
"Zaozhuang urban area","China",87.9375,98.8125,10.875,1.17280181849873,444724,515331,70607,1.48446582914188,5057.2736318408,5215.24098671727,154.02155593638,"Spillover",117.323725,34.810488
"Qingkou urban area","China",127.3125,141.5625,14.25,1.06661442097606,523659,514848,-8811,-0.169546084513375,4113.17820324006,3636.89536423841,-1617.29656111679,"Contained",102.74674,23.115359
"Kota Bharu urban area","Malaysia",78.9375,81.8125,2.875,0.358377076087898,359373,510515,151142,3.57294047363693,4552.6270783848,6240.06111535523,19.0218470048034,"Spillover",102.2776838,6.1167855
"Qingzhou urban area","China",108.625,130.6875,22.0625,1.86627516619271,432006,508340,76334,1.64041990992179,3977.04027617952,3889.73696795791,289.025860036157,"Contained",118.479622,36.684528
"Chongju urban area","South Korea",56.4375,67.5,11.0625,1.80605306004862,429729,505351,75622,1.63419383099774,7614.24584717608,7486.68148148148,146.28679484806,"Spillover",127.4890319,36.6424341
"Huludao urban area","China",151.125,174.375,23.25,1.44129637855123,409188,503681,94493,2.09941835036195,2707.61290322581,2888.49318996416,246.049971955595,"Spillover",120.83694,40.711041
"Qianan urban area","China",134.4375,218.6875,84.25,4.98574954187321,363478,502660,139182,3.29507604799039,2703.6950255695,2298.53100885967,605.322527338305,"Contained",118.701144,39.999175
"Tongliao urban area","China",73.9375,100.4375,26.5,3.11055232404675,390464,502161,111697,2.54776468634903,5281.00084530854,4999.73615432483,237.248986096314,"Contained",122.243444,43.65289
"Qitaihe urban area","China",135.6875,145.125,9.4375,0.674675674854977,382435,501774,119339,2.75312817940981,2818.49838783971,3457.52971576227,79.081440266803,"Spillover",131.003138,45.771727
"Yushu urban area","China",359.5625,361.25,1.6875,0.0468332113569264,497588,501590,4002,0.0801383690187358,1383.87067616896,1388.48442906574,421.664167916042,"Contained",97.091934,33.011674
"Songyuan urban area","China",189.25,201.3125,12.0625,0.619808258942624,425169,497559,72390,1.58469931874399,2246.59973579921,2471.5752871779,166.632131509877,"Spillover",124.825118,45.141789
"Danyang urban area","China",32.125,91.5,59.375,11.0344628109006,252324,495893,243569,6.98993944418835,7854.44357976654,5419.5956284153,243.770759004635,"Contained",119.606439,32.010214
"Hejian urban area","China",100.4375,101.75,1.3125,0.129916126228509,459790,494716,34926,0.73482666785869,4577.87181082763,4862.07371007371,37.579453702113,"Contained",116.099518,38.446624
"Huicheng urban area","China",55.125,66.5625,11.4375,1.90326574122056,379380,494343,114963,2.68225453652746,6882.1768707483,7426.74929577465,99.4885310926124,"Contained",114.382541,23.084122
"Dezhou urban area","China",74.6875,82.6875,8,1.0227517134902,383837,489380,105543,2.45895875833399,5139.24016736402,5918.42781557067,75.7984897150924,"Contained",116.357465,37.434093
"Yongkang urban area","China",87.75,128.125,40.375,3.85769395208311,320031,487909,167878,4.30729381599623,3647.07692307692,3808.07024390244,240.50203123697,"Contained",120.047651,28.888555
"Liaoyuan urban area","China",86.75,95.5625,8.8125,0.972196066665189,476911,487379,10468,0.217357518026821,5497.53314121037,5100.10725964683,841.851356515094,"Fragmented",125.14366,42.887767
"Hue urban area","Vietnam",53.625,62.25,8.625,1.50260892116757,338503,484141,145638,3.64322879493063,6312.41025641026,7777.36546184739,59.2221810241833,"Spillover",107.5623501,16.4498
"Tongling urban area","China",36.8125,83,46.1875,8.46965979245352,312737,484001,171264,4.46401155927516,8495.40237691002,5831.33734939759,269.685981875934,"Spillover",117.811267,30.945516
"Dongyang urban area","China",93,143.8125,50.8125,4.45551358574389,355321,483297,127976,3.12389840996453,3820.65591397849,3360.60495436767,397.047102581734,"Contained",120.241566,29.289648
"Nankang urban area","China",46.0625,108.5625,62.5,8.95150482848602,270360,483239,212879,5.97952139843916,5869.41655359566,4451.25158318941,293.594013500627,"Contained",114.765403,25.661471
"Dongsheng urban area","China",32.8125,111.625,78.8125,13.0244012732697,161849,482313,320464,11.5377539345366,4932.54095238095,4320.83314669653,245.932460432373,"Contained",109.963339,39.822507
"Yuncheng urban area","China",157.25,162.875,5.625,0.35207974842633,418262,481974,63712,1.42792016123094,2659.85373608903,2959.1650038373,88.287920642893,"Contained",111.007529,35.026412
"Laiwu urban area","China",88.6875,108.1875,19.5,2.00735043672889,429151,480770,51619,1.14227618415555,4838.91190979563,4443.85904101675,377.767876169627,"Contained",117.676724,36.213814
"Yanji urban area","China",93.5,109.0625,15.5625,1.55150961101143,383347,479099,95752,2.25470957028807,4099.9679144385,4392.88481375358,162.52924220904,"Spillover",129.508946,42.891255
"Laizhou urban area","China",174.1875,184.25,10.0625,0.563192256352161,463395,477541,14146,0.301154541744483,2660.32292787944,2591.81004070556,711.331825250954,"Contained",119.942327,37.177017
"Shengzhou urban area","China",80.1875,131.9375,51.75,5.10567307573539,354534,477522,122988,3.02284750761159,4421.31254871395,3619.30459497868,420.772758317885,"Spillover",120.831026,29.56141
"Shiyan urban area","China",47.6875,55.875,8.1875,1.59709684598305,335976,476957,140981,3.56597477949231,7045.36828309305,8536.14317673378,58.0752016229137,"Spillover",110.798266,32.629398
"Qujing urban area","China",63.375,105,41.625,5.17853870775706,299740,476271,176531,4.73960784482738,4729.62524654832,4535.91428571429,235.794279758229,"Spillover",103.796167,25.49
"Wuwei urban area","China",43.75,61.75,18,3.50608696773789,339230,473692,134462,3.3951528994162,7753.82857142857,7671.12550607287,133.866817390787,"Contained",102.638201,37.928267
"Jati urban area","Indonesia",51.25,54,2.75,0.524052662827912,350187,470620,120433,2.99995524027142,6832.91707317073,8715.18518518518,22.8342729982646,"Contained",106.8974964,-6.1970255
"Fenghuang urban area","China",100.75,102.375,1.625,0.160131487224401,430252,466914,36662,0.821092656078642,4270.49131513648,4560.82051282051,44.3238230320223,"Contained",109.598479,27.947978
"Zhumadian urban area","China",28.6875,38,9.3125,2.85113516995105,190390,465514,275124,9.35253651350994,6636.68845315904,12250.3684210526,33.8483738241666,"Contained",114.022298,33.011529
"Balikpapan urban area","Indonesia",52.5,56.75,4.25,0.781462470715893,337265,462531,125266,3.20885431700762,6424.09523809524,8150.32599118943,33.9278016381141,"Contained",116.8528526,-1.2379274
"Guiping urban area","China",47.3125,72.875,25.5625,4.41436871368974,306345,460121,153776,4.15164311820438,6474.92734478203,6313.83876500858,166.232051815628,"Contained",110.079379,23.394326
"Akesu urban area","China",178.3125,203.4375,25.125,1.32693875251846,361333,459563,98230,2.43390821460778,2026.40308447249,2258.9886328725,255.777257456989,"Spillover",80.263387,41.167548
"Mawlamyine urban area","Myanmar",67.0625,70.125,3.0625,0.447541925392602,355508,459143,103635,2.59114075337788,5301.14445479963,6547.49376114082,29.5508274231678,"Fragmented",97.6439611,16.4543173
"Longkou urban area","China",143.4375,164.25,20.8125,1.36412297140433,411317,458007,46690,1.08100368670846,2867.56949891068,2788.47488584475,445.75926322553,"Contained",120.477813,37.646108
"Haining urban area","China",18.4375,82.875,64.4375,16.2176664166581,150350,457800,307450,11.7782318729064,8154.57627118644,5523.98190045249,209.586924703204,"Contained",120.680757,30.510659
"Meizhou urban area","China",53.625,68.25,14.625,2.44093531625925,348206,457284,109078,2.76257438482323,6493.35198135198,6700.13186813187,134.07836593997,"Spillover",116.122239,24.288615
"Taizhou urban area","China",25.9375,77.125,51.1875,11.513309825857,194775,457132,262357,8.90575773577413,7509.39759036145,5927.15721231767,195.10628647225,"Contained",121.42076,28.65638
"Shangyu urban area","China",61.6875,142.75,81.0625,8.7521607934155,262240,456764,194524,5.70591579555338,4251.10435663627,3199.74781085814,416.722358166602,"Contained",120.868122,30.033121
"Linzhou urban area","China",83.5625,97.5625,14,1.56104236663782,527261,455636,-71625,-1.44940784165581,6309.78010471204,4670.19602818706,-195.462478184991,"Contained",113.82013,36.083047
"Sanya urban area","China",58.875,82.5,23.625,3.43137611415766,270525,452888,182363,5.28787021576242,4594.90445859873,5489.55151515152,129.549305506051,"Contained",109.511909,18.252847
"Matsuyama urban area","Japan",114.1875,125.5625,11.375,0.954141263204073,391528,451335,59807,1.43168000805314,3428.8166392994,3594.50472872076,190.195127660642,"Spillover",132.7655752,33.8391574
"Tonghua urban area","China",75.125,91.1875,16.0625,1.95653849908911,390346,450378,60032,1.44081819656871,5195.9534109817,4939.0322138451,267.565631663113,"Fragmented",125.939697,41.728401
"Pontianak urban area","Indonesia",43.125,43.5,0.375,0.0866181192758632,336557,449560,113003,2.93733099349199,7804.22028985507,10334.7126436782,3.31849596913356,"Contained",109.3425039,-0.0263303
"Leiyang urban area","China",45.5,69.4375,23.9375,4.31776360701828,351786,449138,97352,2.47315905305382,7731.56043956044,6468.23402340234,245.886062946832,"Contained",112.859795,26.422275
"Xinyu urban area","China",48.0625,86.375,38.3125,6.03718022803243,291990,445156,153166,4.3072331140936,6075.21456436931,5153.75976845152,250.137106146273,"Contained",114.917347,27.817809
"Okayama urban area","Japan",121.375,128.4375,7.0625,0.567177174441125,385758,444509,58751,1.42769633147999,3178.23274974253,3460.89732360097,120.210719817535,"Spillover",133.9195019,34.6551456
"Peicheng urban area","China",88.125,96,7.875,0.859592765768194,430469,441257,10788,0.247828189229691,4884.75460992908,4596.42708333333,729.977753058954,"Contained",113.77125,33.675553
"Shucheng urban area","China",59.125,70.75,11.625,1.8111936116947,416245,440450,24205,0.56682945664799,7040.08456659619,6225.44169611307,480.272670935757,"Contained",116.948668,31.462026
"Shimizu urban area","Japan",105.375,107,1.625,0.153151338458106,394597,439863,45266,1.09190144081437,3744.69276393832,4110.86915887851,35.8989086731763,"Spillover",138.4895275,35.0158879
"Kendari urban area","Indonesia",111.875,118.9375,7.0625,0.614037211209254,319891,437152,117261,3.17228396864561,2859.36089385475,3675.47661586968,60.2288911061649,"Spillover",122.5129742,-3.9984597
"Chenzhou urban area","China",42.75,68.9375,26.1875,4.89431255474927,274959,437069,162110,4.74377126399421,6431.78947368421,6340.07615593835,161.54154586392,"Contained",113.014718,25.77051
"Beihai urban area","China",64.1875,95.75,31.5625,4.08037113131655,302233,434079,131846,3.68661329397245,4708.59591041869,4533.46214099217,239.38913580996,"Spillover",109.120161,21.481291
"Kisaran urban area","Indonesia",26.375,27.75,1.375,0.509485972174294,316700,432338,115638,3.16147299022444,12007.5829383886,15579.7477477477,11.8905550078694,"Spillover",99.6278715,2.9831633
"Tieling urban area","China",98.25,136.3125,38.0625,3.32854461579453,384129,432085,47956,1.1833862044014,3909.70992366412,3169.81201283815,793.696304946201,"Spillover",123.726035,42.223828
"Yichun urban area","China",34.0625,51.875,17.8125,4.29612163427538,291154,431362,140208,4.00923744506411,8547.64036697248,8315.41204819277,127.043392673742,"Contained",114.416786,27.815743
"Zhucheng urban area","China",89.4375,106.25,16.8125,1.73746890800269,362735,431269,68534,1.74565640437542,4055.73724668064,4059.00235294118,245.316193422243,"Contained",119.410103,35.995654
"Danzhou urban area","China",54.6875,64.9375,10.25,1.7327418296151,344051,430116,86065,2.25776053985446,6291.21828571429,6623.53801732435,119.096032068785,"Contained",109.580811,19.521134
"Quzhou urban area","China",73,105,32,3.70188338057649,268182,429560,161378,4.82368449435177,3673.72602739726,4091.04761904762,198.292208355538,"Spillover",118.859457,28.97008
"Jixian urban area","China",92.625,122.125,29.5,2.80343724147549,379939,427120,47181,1.17742056934629,4101.90553306343,3497.40020470829,625.251690299061,"Contained",117.408306,40.046061
"Chon Buri urban area","Thailand",82.5,125,42.5,4.24268917314127,277602,426783,149181,4.39470036779583,3364.87272727273,3414.264,284.888826325068,"Fragmented",100.9846717,13.3611431
"Chaoyang urban area","China",55.125,84.6875,29.5625,4.38715732139536,241121,425482,184361,5.84360310447481,4374.07709750567,5024.14169741697,160.351158867656,"Spillover",120.449388,41.57365
"Binzhou urban area","China",139.875,161.9375,22.0625,1.47539092744567,337816,419732,81916,2.19489141538169,2415.12779267203,2591.93824778078,269.330777870013,"Contained",117.9707,37.38198
"Hegang urban area","China",93,102.375,9.375,0.965057424799356,421273,419696,-1577,-0.0374973670351787,4529.81720430108,4099.59462759463,-5944.83195941661,"Fragmented",130.297964,47.349916
"Wuzhou urban area","China",39.1875,55,15.8125,3.44786051893644,285510,419275,133765,3.91727848227015,7285.74162679426,7623.18181818182,118.211041752327,"Contained",111.279115,23.476963
"Zouping urban area","China",79.375,118.375,39,4.07768541280576,280152,419252,139100,4.11376253166828,3529.47401574803,3541.72756071806,280.373831775701,"Contained",117.743109,36.862989
"Tongxiang urban area","China",22.4375,66.5,44.0625,11.4768575920575,188194,419251,231057,8.33950161363833,8387.47632311978,6304.52631578947,190.699697477246,"Contained",120.565099,30.630173
"Liu'an urban area","China",63.8125,80.8125,17,2.389937589566,326150,418976,92826,2.53619006509869,5111.06758080313,5184.54447022428,183.138344860276,"Spillover",116.521855,31.7337
"Yibin urban area","China",37.625,57.375,19.75,4.30968142015809,297737,418199,120462,3.45584164777065,7913.27574750831,7288.87145969499,163.952117680264,"Spillover",104.643215,28.751769
"Zhoukou urban area","China",27.1875,31.9375,4.75,1.62326975151399,253859,417814,163955,5.10879139091115,9337.34252873563,13082.2387475538,28.9713640938062,"Contained",114.696951,33.626149
"Kofu urban area","Japan",103.5,110.875,7.375,0.690692634090823,359246,417783,58537,1.52099890282891,3470.97584541063,3768.05411499436,125.988690913439,"Fragmented",138.5682015,35.66228
"Deyang urban area","China",35.8125,60.375,24.5625,5.3615741220665,255837,411996,156159,4.88006904203289,7143.79057591623,6823.95031055901,157.291606631702,"Contained",104.397894,31.126856
"Sui'an urban area","China",81.5625,123.5,41.9375,4.2359773545532,333520,409821,76301,2.08154457747852,4089.13409961686,3318.38866396761,549.632377033066,"Contained",108.93977,34.341575
"Hamhung urban area","North Korea",29,29.5,0.5,0.171090526710053,376821,409398,32577,0.832622322064918,12993.8275862069,13877.8983050847,15.3482518341161,"Contained",127.6124553,39.9838002
"Weinan urban area","China",81.9375,85.5625,3.625,0.433841795687196,396169,407020,10851,0.270579771992398,4835.01449275362,4756.99050401753,334.070592572113,"Contained",109.509786,34.499995
"Chengde urban area","China",20.375,39.3125,18.9375,6.79312732031867,244114,404184,160070,5.17163924587939,11981.0552147239,10281.3100158983,118.307615418255,"Spillover",117.96275,40.952942
"Lishi urban area","China",66.125,76.625,10.5,1.48467850590348,300405,402471,102066,2.96811055431041,4542.98676748582,5252.47634584013,102.874610546117,"Fragmented",111.150733,37.517641
"Rongcheng urban area","China",116.3125,133.125,16.8125,1.35923475326832,386671,402240,15569,0.395527384448087,3324.41483073616,3021.52112676056,1079.8702549939,"Contained",122.486658,37.16516
"Pematangsiantar urban area","Indonesia",20.5,37.375,16.875,6.18978317454054,216614,401157,184543,6.35619344649847,10566.5365853659,10733.2976588629,91.4421029245217,"Spillover",99.0681668,2.970042
"Xinji urban area","China",111.5,113.1875,1.6875,0.150324321338757,401106,400071,-1035,-0.0258336642393979,3597.36322869955,3534.58641634456,-1630.4347826087,"Contained",115.218057,37.943315
"Zhangqiu urban area","China",42.75,59.4375,16.6875,3.35046655940428,279674,397828,118154,3.58677810178241,6542.08187134503,6693.21556256572,141.235167662542,"Contained",117.526228,36.681259
"Sanmenling urban area","China",63.875,65.375,1.5,0.232388342716478,357265,397812,40547,1.08081635798579,5593.18982387476,6085.07839388145,36.9941056058401,"Spillover",117.936692,28.519267
"Can Tho urban area","Vietnam",29.25,34,4.75,1.51618877582956,267320,397353,130033,4.04339244399717,9139.1452991453,11686.8529411765,36.5291887443957,"Fragmented",105.7468535,10.0451618
"Luzhou urban area","China",32.4375,52.75,20.3125,4.98264461671362,240307,397189,156882,5.15334175955707,7408.30828516378,7529.64928909953,129.476294284877,"Spillover",105.442258,28.871811
"Bazhou urban area","China",82.75,117.4375,34.6875,3.56282281444831,305142,396820,91678,2.66186662106149,3687.5166163142,3378.98882384247,378.362311568752,"Contained",116.391386,39.125898
"Feicheng urban area","China",52.875,64.9375,12.0625,2.07620571034272,334695,394288,59593,1.65211837273243,6329.92907801418,6071.80750721848,202.414713137449,"Contained",116.768358,36.182571
"Zhuozhou urban area","China",107.5,140.1875,32.6875,2.69045607295115,329378,394244,64866,1.81389459443802,3063.98139534884,2812.26214890771,503.923473005889,"Contained",115.974422,39.485283
"Ezhou urban area","China",34.3125,51.1875,16.875,4.08092798331179,281083,391710,110627,3.37440143097356,8191.85428051002,7652.45421245421,152.539615103004,"Contained",114.894843,30.39194
"Bangtou urban area","China",58.9375,80.375,21.4375,3.15087767484079,319879,388525,68646,1.96316879593987,5427.42735949099,4833.90357698289,312.290592314192,"Contained",118.754551,25.42239
"Loudi urban area","China",40.125,66.75,26.625,5.22129013857548,260116,386385,126269,4.03640080283699,6482.64174454829,5788.5393258427,210.859355819718,"Contained",111.993497,27.700063
"Jingdezhen urban area","China",49.375,67.4375,18.0625,3.16667538542886,320772,386228,65456,1.87432174442547,6496.64810126582,5727.19925857275,275.948728917135,"Spillover",117.178443,29.268783
"Sungai Petani urban area","Malaysia",88.8125,119.375,30.5625,3.0015900287395,252428,385959,133531,4.33748512962411,2842.257565095,3233.16439790576,228.87943623578,"Contained",100.4894179,5.643589
"Shuangyashan urban area","China",126.8125,132.6875,5.875,0.45389823023958,348673,385403,36730,1.0065824987327,2749.51601774273,2904.59161563825,159.950993738089,"Spillover",131.159133,46.646509
"Xinyang urban area","China",74,84.9375,10.9375,1.38805119082453,350969,383335,32366,0.886015889252226,4742.82432432432,4513.14201618837,337.931780263239,"Spillover",114.091023,32.146984
"Jingjiang urban area","China",20.1875,60.3125,40.125,11.5661583980445,204681,382924,178243,6.46417809302019,10138.9969040248,6348.99896373057,225.114029723467,"Contained",120.277138,31.982751
"Singaraja urban area","Indonesia",35,37.3125,2.3125,0.641854409956279,274948,382463,107515,3.3555699532666,7855.65714285714,10250.2646566164,21.5086267032507,"Contained",115.0916254,-8.1149145
"Beiliu urban area","China",27.3125,35.1875,7.875,2.56582927822287,291944,382120,90176,2.72828113547485,10689.0251716247,10859.5381882771,87.3292228530873,"Contained",110.354215,22.708311
"Gaomi urban area","China",87.25,96.75,9.5,1.0388870534184,331419,381404,49985,1.41467053042022,3798.49856733524,3942.16020671835,190.057017105132,"Contained",119.755597,36.382595
"Laiyang urban area","China",118.3125,121.0625,2.75,0.230039307315466,382390,381367,-1023,-0.0267850533620308,3232.03380876915,3150.16623644812,-2688.17204301075,"Contained",120.711673,36.978941
"Chiai urban area","Taiwan",81.6875,86.125,4.4375,0.530388988086482,361810,379409,17599,0.476085369511911,4429.19663351186,4405.32946298984,252.145008239104,"Contained",120.7120023,22.6158015
"Hanzhong urban area","China",24.1875,51.875,27.6875,7.92864202539616,227323,378203,150880,5.22238927619955,9398.3669250646,7290.66024096386,183.506760339343,"Spillover",107.023323,33.06748
"Nagano urban area","Japan",104.8125,108,3.1875,0.300031070365184,321646,377665,56019,1.6185183465942,3068.77519379845,3496.89814814815,56.9003373855299,"Spillover",138.1947709,36.6485829
"Lumajang urban area","Indonesia",35.9375,37.0625,1.125,0.308719141034188,278453,376948,98495,3.0749076133696,7748.25739130435,10170.6037099494,11.4218995888116,"Contained",113.1441558,-8.0943571
"Qinzhou urban area","China",60.375,93.5625,33.1875,4.47790785916901,241164,376635,135471,4.55885523577737,3994.4347826087,4025.49098196393,244.978630112718,"Spillover",108.654147,21.979934
"Hengshui urban area","China",86.0625,92.3125,6.25,0.703521001190335,296850,375430,78580,2.37624399841977,3449.23747276688,4066.94651320244,79.5367778060575,"Contained",115.670177,37.73892
"Liuyang urban area","China",42.8125,55.6875,12.875,2.66412576013424,298126,374050,75924,2.29466409637043,6963.52700729927,6716.94725028058,169.577472209051,"Contained",113.643076,28.162833
"Pizhou urban area","China",39.4375,53.75,14.3125,3.14469813772161,294693,373517,78824,2.39860856002175,7472.40570522979,6949.15348837209,181.575408505024,"Contained",118.012531,34.338888
"Fuyang urban area","China",31.875,80.375,48.5,9.69001080147852,186121,372645,186524,7.18894393533014,5839.09019607843,4636.32970451011,260.020158263816,"Contained",115.814205,32.890124
"Taihe urban area","China",99,102,3,0.29897567494809,365395,372460,7065,0.191690384438919,3690.85858585859,3651.56862745098,424.628450106157,"Contained",114.908873,26.789958
"Huaihua urban area","China",30.1875,46.375,16.1875,4.38682236659149,187449,372097,184648,7.09699963449295,6209.49068322981,8023.65498652291,87.6668038646506,"Contained",110.001923,27.569517
"Chonju urban area","South Korea",36.3125,42.3125,6,1.54095733222253,311329,371836,60507,1.79189179750188,8573.60413080895,8787.85228951256,99.1620804204472,"Contained",127.1479532,35.8242238
"Ansu urban area","China",125.125,140.1875,15.0625,1.14316045194707,351659,370425,18766,0.521244165504765,2810.46153846154,2642.35399019171,802.648406692955,"Contained",80.263387,41.167548
"Kuantan urban area","Malaysia",117.4375,139.75,22.3125,1.75470555358288,256068,370028,113960,3.74995759755004,2180.4619478446,2647.78533094812,195.792383292383,"Contained",103.2201828,3.7633859
"Jining urban area","China",76.9375,87.3125,10.375,1.27303733044031,294489,368185,73696,2.25856675077366,3827.63931762794,4216.86471009306,140.781046461138,"Spillover",116.587282,35.414982
"Gongyi urban area","China",44.375,60.0625,15.6875,3.07337671437921,294031,366454,72423,2.2262982173932,6626.05070422535,6101.21123829344,216.609364428427,"Contained",113.022497,34.747834
"Shenzhou urban area","China",147.125,147.4375,0.3125,0.0212201670335634,367132,365602,-1530,-0.0417527449914182,2495.37468139337,2479.70835099618,-204.248366013072,"Contained",115.559574,38.001536
"Taixing urban area","China",23.6875,48.5,24.8125,7.42917760713493,244869,365396,120527,4.08376611080027,10337.4775725594,7533.9381443299,205.866735254341,"Contained",120.051744,32.171854
"Bianzhuang urban area","China",48.0625,58.0625,10,1.90815463883664,305978,363517,57539,1.738060095212,6366.2522756827,6260.78794402583,173.795165018509,"Contained",117.100087,39.138304
"Kagoshima urban area","Japan",76.625,81.125,4.5,0.572309275478103,320507,361543,41036,1.21205523390129,4182.79934747145,4456.61633281972,109.659810897748,"Contained",130.5571158,31.5965535
"Meihekou urban area","China",112.3125,122.5,10.1875,0.872038952866802,350926,361232,10306,0.289869673703979,3124.54980523094,2948.83265306122,988.50184358626,"Spillover",125.710896,42.539287
"Jinzhou urban area","China",89.75,92.4375,2.6875,0.295482823467938,340981,356611,15630,0.449193810177915,3799.23119777159,3857.86071670047,171.944977607166,"Contained",121.126846,41.095685
"Haobi urban area","China",21.875,25.125,3.25,1.39482753992813,283250,355853,72603,2.30811224744384,12948.5714285714,14163.3034825871,44.7639904687134,"Spillover",118.7769332,34.1117006
"Shizuishan urban area","China",34.75,38.3125,3.5625,0.980744500604323,258038,354918,96880,3.23915371790915,7425.55395683453,9263.76508972268,36.7722956234517,"Spillover",106.383304,38.983236
"Zhongxing urban area","China",94,102.25,8.25,0.844808663360067,468207,354759,-113448,-2.73657648499874,4980.92553191489,3469.52567237164,-72.7205415697059,"Contained",109.8891103,21.220078
"Longyan urban area","China",55.25,85.1875,29.9375,4.4249699789388,227271,354553,127282,4.54751492046491,4113.50226244344,4162.03081438004,235.2060778429,"Contained",117.017537,25.075123
"Jiangdu urban area","China",30.6875,66.125,35.4375,7.97927757953852,198517,353391,154874,5.93653849467971,6468.98574338086,5344.28733459357,228.815036739543,"Contained",119.569989,32.434672
"Anpu urban area","China",32.3125,38.25,5.9375,1.70120248154225,255272,352195,96923,3.27090918471139,7900.10058027079,9207.71241830065,61.2599692539439,"Contained",116.682305,23.450032
"Yulin urban area","China",33.5625,41.875,8.3125,2.23746009840092,231470,351475,120005,4.26534216852747,6896.6852886406,8393.43283582089,69.267947168868,"Contained",110.164756,22.636379
"Zhaozhou urban area","China",79.75,80.125,0.375,0.0469227410344785,336314,351069,14755,0.430298516508006,4217.10344827586,4381.51638065523,25.4151135208404,"Contained",125.269281,45.708049
"Zamboanga urban area","Philippines",35.1875,39.125,3.9375,1.06635287375262,262134,350889,88755,2.9590768415202,7449.63410301954,8968.4089456869,44.3636978198411,"Contained",122.0790267,6.9214424
"Laixi urban area","China",123.8125,132.5,8.6875,0.68044780728464,323969,350267,26298,0.783532561681327,2616.60979303382,2643.52452830189,330.348315461252,"Contained",120.51769,36.889084
"Taishan urban area","China",50.375,69.875,19.5,3.32625196677395,277635,348808,71173,2.30838338327593,5511.36476426799,4991.885509839,273.980301518834,"Contained",112.794065,22.251924
"Chuxiong urban area","China",28,40.25,12.25,3.69570899538924,236688,347389,110701,3.9115880957156,8453.14285714286,8630.78260869565,110.658440303159,"Contained",101.528068,25.045532
"Nongan urban area","China",251.875,256.5625,4.6875,0.184563779125785,380921,346259,-34662,-0.94951293198282,1512.34143920596,1349.60876979294,-135.234550804916,"Contained",125.184742,44.432889
"Xingning urban area","China",18.5,38.1875,19.6875,7.51645831706497,184398,344937,160539,6.46291607535115,9967.45945945946,9032.7201309329,122.63375254611,"Contained",115.73111,24.13663
"Hebi urban area","China",107.875,113.75,5.875,0.531707658653571,323910,342894,18984,0.571181678222372,3002.64194669757,3014.45274725275,309.471133586178,"Contained",114.297273,35.747225
"Lianjiang urban area","China",60.5,85.875,25.375,3.56455359762031,237430,341881,104451,3.71317683085665,3924.46280991736,3981.14701601164,242.936879493734,"Contained",119.539704,26.197364
"Yutian urban area","China",98.0625,103.9375,5.875,0.583543283613413,315557,340778,25221,0.77188285027461,3217.91714467814,3278.6819001804,232.940803298838,"Contained",81.677418,36.857081
"Yishui urban area","China",48.25,58.25,10,1.90133206891952,302471,340441,37970,1.18958424491266,6268.82901554404,5844.48068669528,263.365815117198,"Contained",118.627918,35.79045
"Panzhihua urban area","China",39.0625,49.5625,10.5,2.4092809913191,257479,339883,82404,2.815540494808,6591.4624,6857.66456494325,127.420998980632,"Contained",101.718637,26.582347
"Yongcheng urban area","China",105.3125,110.3125,5,0.46492872107915,328014,339349,11335,0.340305588495119,3114.67299703264,3076.25155807365,441.111601235112,"Contained",116.4495,33.929291
"Iloilo urban area","Philippines",33.3125,39.375,6.0625,1.68603983267317,246951,337552,90601,3.17464651925638,7413.16322701689,8572.74920634921,66.9142724693988,"Spillover",122.5621063,10.7201501
"Suihua urban area","China",134.6875,141.75,7.0625,0.512384847398014,295741,337270,41529,1.32266813293972,2195.75684454756,2379.32980599647,170.061884466277,"Contained",126.968887,46.653845
"Anqiu urban area","China",85.875,90.4375,4.5625,0.519004726011917,380319,337167,-43152,-1.19709726602891,4428.75109170306,3728.17691776088,-105.730904708936,"Contained",119.218978,36.478494
"Shuozhou urban area","China",100.0625,117,16.9375,1.57608061416517,235376,336256,100880,3.63126187946457,2352.28981886321,2873.98290598291,167.897501982554,"Contained",112.432825,39.331595
"Xiaogan urban area","China",35.25,44.0625,8.8125,2.25651825654372,281765,336049,54284,1.77744780433671,7993.33333333333,7626.64397163121,162.340652862722,"Contained",113.957037,30.917766
"Chengyang urban area","China",72.25,78.5,6.25,0.833114219197517,317464,333934,16470,0.507070699814041,4393.96539792388,4253.93630573248,379.477838494232,"Contained",120.39631,36.307064
"Baoshan urban area","China",68.75,92.875,24.125,3.0534682371275,229469,333369,103900,3.80544126625302,3337.73090909091,3589.43741588156,232.194417709336,"Contained",99.161761,25.112046
"Xinghua urban area","China",27.5,68.1875,40.6875,9.50582146202791,171464,332702,161238,6.85337549420869,6235.05454545455,4879.22273143905,252.34436051055,"Contained",119.852541,32.910459
"Dali urban area","China",47.5,60.125,12.625,2.38495599774455,232646,331360,98714,3.60016549429657,4897.81052631579,5511.18503118503,127.894726178658,"Contained",100.267638,25.606486
