Urban Area Name,Country,lon,lat
Xinzhou urban area,China,112.734174,38.416663
Manado urban area,Indonesia,124.8420794,1.4748305
Pinghu urban area,China,121.015142,30.677233
Takamatsu urban area,Japan,134.046574,34.3427879
Jiyuan urban area,China,112.601919,35.067243
Hezhou urban area,China,111.566694,24.403582
Weitang urban area,China,120.649342,31.463476
Neijiang urban area,China,105.058433,29.580229
Baguio urban area,Philippines,120.5960071,16.4023332
Feixian urban area,China,117.977325,35.265961
Dujiangyan urban area,China,103.646912,30.988435
Linhe urban area,China,107.363919,40.751187
Chuzhou urban area,China,118.328322,32.253425
Banda Aceh urban area,Indonesia,95.3237559,5.5482904
Yueping urban area,China,121.4347858,29.2976344
Tancheng urban area,China,118.367215,34.613586
Longcheng urban area,China,120.413376,41.576749
Fengcheng urban area,China,115.771094,28.159142
Rugao urban area,China,120.574946,32.370557
Nakhon Ratchasima urban area,Thailand,102.083652,14.9738493
Aloríç Setar urban area,Malaysia,100.3678178,6.1248
Shahe urban area,China,114.503335,36.854922
Qui Nhon urban area,Vietnam,109.2196634,13.7829673
Huazhou urban area,China,110.639569,21.664044
Yongchuan urban area,China,105.927376,29.356117
Bencheng urban area,China,120.16366,33.347316
Suining urban area,China,105.592898,30.532847
Viangchan urban area,Lao PDR,102.6331035,17.9757058
Gaozhou urban area,China,110.853302,21.917982
Oita urban area,Japan,131.609272,33.2395578
Yuzhou urban area,China,113.488478,34.140701
Bago urban area,Myanmar,96.4663286,17.3220711
Wuchang urban area,China,114.316422,30.554363
Lingcheng urban area,China,116.576092,37.335794
Yanzhou urban area,China,116.783834,35.553144
Wuzhong urban area,China,106.198394,37.997461
Liupanshui urban area,China,104.830359,26.592666
Huanghua urban area,China,117.330048,38.371383
Niushan urban area,China,118.743257,34.521105
Potou urban area,China,110.455332,21.244721
Yuxi urban area,China,102.527197,24.347324
Fuzhou urban area,China,119.296494,26.074508
Shihezi urban area,China,86.080602,44.306097
Kuala Terengganu urban area,Malaysia,103.1370142,5.329624
Yunfu urban area,China,112.044491,22.915094
Changge urban area,China,113.819888,34.194136
Pohang urban area,Republic of Korea,129.3434808,36.0190178
Kaiyuan urban area,China,103.267143,23.714316
Long Xuyen urban area,Vietnam,105.4185406,10.3759416
Leizhou urban area,China,110.096586,20.914179
Shizilu urban area,China,109.184691,22.253586
Xianning urban area,China,114.322439,29.841438
Tianshui urban area,China,105.724947,34.580864
Zaoyang urban area,China,112.771959,32.128818
Xinle urban area,China,114.684014,38.343296
Huozhou urban area,China,111.755398,36.568931
Luoding urban area,China,111.570011,22.768595
Shanwei urban area,China,115.375159,22.786186
Liling urban area,China,113.496999,27.646096
Wendeng urban area,China,122.057941,37.193886
Sinuiju urban area,Democratic People's Republic of Korea,124.4489192,40.0823213
Lhasa urban area,China,91.17211,29.652491
Hejin urban area,China,110.712063,35.596383
Qidong urban area,China,121.655432,31.793278
Changyi urban area,China,119.398525,36.85882
Liyang urban area,China,119.484211,31.416911
Yingde urban area,China,113.401702,24.206986
Zhongxiang urban area,China,112.588121,31.16782
Linqu urban area,China,118.542982,36.512506
Fenghua urban area,China,121.406995,29.655143
Zhangye urban area,China,100.449818,38.925875
Meishan urban area,China,103.848538,30.07544
Changli urban area,China,119.162694,39.712813
Qufu urban area,China,116.986503,35.580996
Palu urban area,Indonesia,119.8779987,-0.9002915
Fujieda urban area,Japan,138.2574584,34.8673673
Hanchuan urban area,China,113.839149,30.661244
Wuhai urban area,China,106.794249,39.655389
Lanxi urban area,China,119.460526,29.208919
Yuanping urban area,China,112.711059,38.731402
Tianmen urban area,China,110.482084,29.046809
Hat Yai urban area,Thailand,100.4746879,7.0086472
Daojiang urban area,China,110.666615,23.883531
Tebingtinggi urban area,Indonesia,99.1566855,3.3262879
Xinyi urban area,China,110.947044,22.354385
General Santos urban area,Philippines,125.171618,6.1163861
Sandakan urban area,Malaysia,118.1171729,5.839444
Anguo urban area,China,115.326647,38.41844
Cagayan de Oro urban area,Philippines,124.6318977,8.4542363
Leling urban area,China,117.231935,37.729907
Yanshi urban area,China,112.789534,34.72722
Nagasaki urban area,Japan,129.877667,32.7502856
Haimen urban area,China,121.181615,31.871173
Jiehu urban area,China,118.45146,35.556017
Hetian urban area,China,79.922211,37.114157
Xingcheng urban area,China,120.72831,40.614762
Pengzhou urban area,China,103.958014,30.990108
Xiantao urban area,China,113.423482,30.360882
Ambon urban area,Indonesia,128.1907723,-3.6553932
Yucheng urban area,China,116.638327,36.933812
Dancheng urban area,China,115.177189,33.644743
Xiangcheng urban area,China,114.875333,33.465838
Linan urban area,China,119.724733,30.233873
Xingping urban area,China,108.490475,34.299221
Taiping urban area,Malaysia,100.7416339,4.851932
Chonan urban area,Republic of Korea,127.1138939,36.815129
Bukit Tinggi urban area,Indonesia,100.383479,-0.3039178
Ruijin urban area,China,116.027135,25.885555
Batu Pahat urban area,Malaysia,102.9352354,1.8469413
Jiangyan urban area,China,120.127934,32.509155
Nangong urban area,China,115.408748,37.359264
